termo,frequencia,musicas
sei,32,"A Palo Seco, Aguapé, Apenas Um Rapaz Latino Americano, Arte Final, Beijo Molhado, Clamor No Deserto, Como Nossos Pais, Conheço o Meu Lugar, Espacial, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Não Leve Flores, No Maior Jazz, Paraíso, Rock Romance de Um Robô Goliardo, Seixo Rolado"
assim,23,"A Palo Seco, Baihuno, Balada de Madame Frigidaire, Caso Comum de Trânsito, Clamor No Deserto, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido, Senhoras do Amazonas, Sujeito de Sorte, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom"
falando,6,"A Palo Seco, Caso Comum de Trânsito, Todo Sujo de Batom"
pensas,3,A Palo Seco
desespero,3,A Palo Seco
moda,3,"A Palo Seco, Espacial"
76,3,A Palo Seco
ando,3,"A Palo Seco, Aguapé, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Baihuno, Balada de Madame Frigidaire, Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Humano Hum, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Nada Como Viver, Notícia de Terra Civilizada, Ondas Tropicais, Onde Jazz Meu Coração?, Paraíso, Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido, Seixo Rolado, Sensual, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América"
descontente,2,A Palo Seco
desesperadamente,2,A Palo Seco
grito,4,"A Palo Seco, Paralelas"
português,2,A Palo Seco
vinte,4,"A Palo Seco, Mucuripe"
cinco,5,"A Palo Seco, Rock Romance de Um Robô Goliardo, Todo Sujo de Batom"
anos,9,"A Palo Seco, Arte Final, Elegia Obscena, Lira dos Vinte Anos, Mucuripe, Os Derradeiros Moicanos, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, S.A., Tocando Por Música, Todo Sujo de Batom"
sonho,8,"A Palo Seco, Alucinação, Canção de Gesta de Um Trovador Eletrônico, Comentários a Respeito de John, Do Mar, do Céu, do Campo, Notícia de Terra Civilizada, Num País Feliz, Ondas Tropicais, Rock Romance de Um Robô Goliardo, Tambor Tantã, Todo Sujo de Batom"
sangue,8,"A Palo Seco, Caso Comum de Trânsito, Conheço o Meu Lugar, Lira dos Vinte Anos, Meu Nome é Cem, Os Derradeiros Moicanos, Retórica Sentimental"
américa,11,"A Palo Seco, Clamor No Deserto, Extra Cool, Onde Jazz Meu Coração?, Ploft, Quinhentos Anos de Quê?, Tambor Tantã, Tudo Outra Vez, Voz da América"
sul,11,"A Palo Seco, Beijo Molhado, Como Se Fosse Pecado, Extra Cool, Fotografia 3X4, Meu Cordial Brasileiro, No Maior Jazz, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Seixo Rolado, Tudo Outra Vez, Voz da América"
força,6,"A Palo Seco, Baihuno, De Primeira Grandeza, Galos, Noites e Quintais, Meu Nome é Cem"
deste,6,"A Palo Seco, Canção de Gesta de Um Trovador Eletrônico, Como Se Fosse Pecado, Conheço o Meu Lugar, Divina Comédia Humana, Onde Jazz Meu Coração?, Ploft, Rock Romance de Um Robô Goliardo"
destino,6,"A Palo Seco, Amor e Crime, Arte Final, Baihuno, Coração Selvagem, Não Leve Flores, Rock Romance de Um Robô Goliardo, S.A."
tango,4,"A Palo Seco, Ondas Tropicais, Seixo Rolado"
argentino,2,A Palo Seco
vai,15,"A Palo Seco, Aguapé, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Canção de Gesta de Um Trovador Eletrônico, Espacial, Fotografia 3X4, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Paraíso (1982), Rock Romance de Um Robô Goliardo"
bem,47,"A Palo Seco, Amor de Perdição, Arte Final, Balada de Madame Frigidaire, Como Nossos Pais, Conheço o Meu Lugar, Coração Selvagem, Elegia Obscena, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Na Hora do Almoço, Não Leve Flores, Objeto Direto, Paraíso, Quinhentos Anos de Quê?, Recitanda, Rock Romance de Um Robô Goliardo, Voz da América"
melhor,10,"A Palo Seco, Amor de Perdição, Caso Comum de Trânsito, Como Nossos Pais, Lamento do Marginal Bem Sucedido, Recitanda, Rock Romance de Um Robô Goliardo"
blues,10,"A Palo Seco, Dandy, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Ondas Tropicais, Onde Jazz Meu Coração?, Ploft, Seixo Rolado"
quero,61,"A Palo Seco, Balada do Amor, Bel Prazer, Brincando Com a Vida, Clamor No Deserto, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Dandy, Depois Das Seis, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Jornal Blues (Canção Leve de Escárnio e Maldizer), Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Nada Como Viver, Objeto Direto, Ondas Tropicais, Paraíso, Recitanda, Seixo Rolado, Sensual, Tambor Tantã, Todo Sujo de Batom, Tudo Outra Vez, Voz da América"
canto,19,"A Palo Seco, Apenas Um Rapaz Latino Americano, Brotinho de Bambu, Clamor No Deserto, Como Nossos Pais, Como Se Fosse Pecado, Coração Selvagem, Cuidar do Homem, De Primeira Grandeza, Divina Comédia Humana, Galos, Noites e Quintais, Humano Hum, Onde Jazz Meu Coração?, Pequeno Perfil de Um Cidadão Comum, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, Senhoras do Amazonas, Voz da América"
torto,6,"A Palo Seco, Lamento do Marginal Bem Sucedido, Objeto Direto"
feito,13,"A Palo Seco, Bel Prazer, Como Nossos Pais, Kitsch Metropolitanus, Pequeno Perfil de Um Cidadão Comum, Retórica Sentimental, Sensual"
faca,5,"A Palo Seco, Pequeno Mapa do Tempo"
corte,5,"A Palo Seco, Aguapé, Rock Romance de Um Robô Goliardo"
carne,8,"A Palo Seco, Alucinação, Bel Prazer, Paraíso, Sensual"
capineiro,1,Aguapé
pai,8,"Aguapé, Amor de Perdição, Amor e Crime, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Brasileiramente Linda, Clamor No Deserto, Como Nossos Pais, Coração Selvagem, De Primeira Grandeza, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Na Hora do Almoço, Ondas Tropicais, Os Profissionais, Paraíso, Paralelas, Pequeno Mapa do Tempo, Ploft, Populus, Rock Romance de Um Robô Goliardo, Voz da América"
cortes,1,Aguapé
cabelos,1,Aguapé
mãe,8,"Aguapé, Arte Final, Baihuno, Balada de Madame Frigidaire, Dandy, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Na Hora do Almoço, No Maior Jazz, Os Profissionais, Tambor Tantã"
penteou,1,Aguapé
madrasta,1,Aguapé
enterrou,1,Aguapé
figo,1,Aguapé
figueira,1,Aguapé
passarim,2,"Aguapé, Mote e Glosa"
beliscou,1,Aguapé
companheiro,1,Aguapé
passas,2,"Aguapé, Paralelas"
estrada,12,"Aguapé, Baihuno, Canção de Gesta de Um Trovador Eletrônico, Como Se Fosse Pecado, Coração Selvagem, Monólogo das Grandezas do Brasil, Onde Jazz Meu Coração?, Os Profissionais, Paralelas, Rock Romance de Um Robô Goliardo, Seixo Rolado"
seguindo,2,"Aguapé, Arte Final"
rumo,1,Aguapé
sertão,16,"Aguapé, Bel Prazer, Clamor No Deserto, Como Nossos Pais, Conheço o Meu Lugar, Humano Hum, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada, Ondas Tropicais, Onde Jazz Meu Coração?, Pequeno Mapa do Tempo, Princesa do Meu Lugar, Seixo Rolado, Tudo Outra Vez"
vires,1,Aguapé
cruz,2,"Aguapé, No Maior Jazz, Num País Feliz"
casa,11,"Aguapé, Caso Comum de Trânsito, Como Nossos Pais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lira dos Vinte Anos, Mucuripe, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
abandonada,1,Aguapé
deixa-a,1,Aguapé
paz,16,"Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Balada de Madame Frigidaire, Bossa Em Palavrões, Brincando Com a Vida, Clamor No Deserto, Mucuripe, No Maior Jazz, Notícia de Terra Civilizada, Os Profissionais, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Tudo Outra Vez, Voz da América"
dormir,2,"Aguapé, Lamento do Marginal Bem Sucedido"
solidão,8,"Aguapé, Alucinação, Coração Selvagem, E Que Tudo Mais Vá Para o Céu, Lamento do Marginal Bem Sucedido, Pequeno Mapa do Tempo, Voz da América"
vale,6,"Aguapé, E Que Tudo Mais Vá Para o Céu, Paraíso (1982), Quinhentos Anos de Quê?, Tocando Por Música"
ramo,1,"Aguapé, Arte Final"
alecrim,1,Aguapé
cheiroso,1,Aguapé
atiras,1,Aguapé
braços,3,"Aguapé, Espacial, Paralelas"
seio,1,Aguapé
passar,5,"Aguapé, Espacial, Jornal Blues (Canção Leve de Escárnio e Maldizer), Monólogo das Grandezas do Brasil, Mote e Glosa, Notícia de Terra Civilizada, Pequeno Perfil de Um Cidadão Comum, Princesa do Meu Lugar"
vais,1,"Aguapé, Balada do Amor"
espantar,1,Aguapé
bando,2,"Aguapé, Baihuno, Espacial, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Onde Jazz Meu Coração?, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido"
buliçoso,1,Aguapé
borboletas,1,Aguapé
mariposas,1,Aguapé
vão,15,"Aguapé, Amor de Perdição, Caso Comum de Trânsito, De Primeira Grandeza, Jornal Blues (Canção Leve de Escárnio e Maldizer), Monólogo das Grandezas do Brasil, Mucuripe, Populus, Quinhentos Anos de Quê?, Tambor Tantã"
pousar,1,Aguapé
dentro,9,"Aguapé, Alucinação, Apenas Um Rapaz Latino Americano, Coração Selvagem, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Princesa do Meu Lugar, Voz da América"
três,6,"Aguapé, Apenas Um Rapaz Latino Americano, Quinhentos Anos de Quê?, Retórica Sentimental"
cadeiras,1,Aguapé
madeira,1,Aguapé
sala,3,"Aguapé, Kitsch Metropolitanus, Na Hora do Almoço"
mesa,7,"Aguapé, Alucinação, Na Hora do Almoço, Não Leve Flores, No Maior Jazz, Paraíso (1982), Rock Romance de Um Robô Goliardo"
centro,2,"Aguapé, Na Hora do Almoço"
rio,9,"Aguapé, Alucinação, Apenas Um Rapaz Latino Americano, Balada de Madame Frigidaire, Balada do Amor, Brasileiramente Linda, Carisma, Dandy, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Populus, Rock Romance de Um Robô Goliardo, S.A., Senhoras do Amazonas, Ypê"
aberto,1,"A Palo Seco, Aguapé"
barco,2,"Aguapé, Amor e Crime, Conheço o Meu Lugar, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
solto,1,Aguapé
pau-d'arco,1,Aguapé
florindo,1,Aguapé
porta,3,"Aguapé, Alucinação, Apenas Um Rapaz Latino Americano, Carisma, Conheço o Meu Lugar, Jornal Blues (Canção Leve de Escárnio e Maldizer), Pequeno Mapa do Tempo"
sob,13,"Aguapé, Ate Mais Ver, Baihuno, Comentários a Respeito de John, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Cuidar do Homem, De Primeira Grandeza, Lamento do Marginal Bem Sucedido, Monólogo das Grandezas do Brasil, Mucuripe, Num País Feliz, Ondas Tropicais, Paralelas, Ploft, Populus, Sensual, Todo Sujo de Batom, Voz da América"
ainda,34,"Aguapé, Apenas Um Rapaz Latino Americano, Arte Final, Ate Mais Ver, Bel Prazer, Carisma, Caso Comum de Trânsito, Como Nossos Pais, Cuidar do Homem, Elegia Obscena, Espacial, Meu Cordial Brasileiro, Meu Nome é Cem, Num País Feliz, Paraíso (1982), Recitanda, Retórica Sentimental, Tudo Outra Vez"
pouco,7,"Aguapé, Conheço o Meu Lugar, Cuidar do Homem, E Que Tudo Mais Vá Para o Céu, Lira dos Vinte Anos, Rock Romance de Um Robô Goliardo, S.A."
enterrei,2,Aguapé
filha,2,Aguapé
morta,4,"Aguapé, Carisma, Como Se Fosse Pecado, No Maior Jazz, Paraíso, Pequeno Mapa do Tempo"
aqui,13,"Aguapé, Caso Comum de Trânsito, Depois Das Seis, Do Mar, do Céu, do Campo, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Mucuripe, Num País Feliz, Onde Jazz Meu Coração?, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Senhoras do Amazonas, Viva La Dolcezza"
mortos,1,Aguapé
bons,5,"Aguapé, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lira dos Vinte Anos, Os Derradeiros Moicanos, Pequeno Perfil de Um Cidadão Comum"
pois,20,"Aguapé, Amor de Perdição, Apenas Um Rapaz Latino Americano, Ate Mais Ver, Bossa Em Palavrões, Como Nossos Pais, Conheço o Meu Lugar, Espacial, Fotografia 3X4, Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Objeto Direto, Paraíso, Pequeno Perfil de Um Cidadão Comum, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, S.A., Tocando Por Música, Ypê"
atrapalham,1,Aguapé
nada,79,"Aguapé, Apenas Um Rapaz Latino Americano, Arte Final, Ate Mais Ver, Clamor No Deserto, De Primeira Grandeza, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Meu Nome é Cem, Nada Como Viver, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado, Voz da América"
comem,2,Aguapé
pão,11,"Aguapé, Beijo Molhado, E Que Tudo Mais Vá Para o Céu, Humano Hum, Jornal Blues (Canção Leve de Escárnio e Maldizer), Monólogo das Grandezas do Brasil, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado, Voz da América"
vivos,3,"Aguapé, Rock Romance de Um Robô Goliardo"
ocupam,2,Aguapé
lugar,22,"Aguapé, Arte Final, Balada do Amor, Bel Prazer, Caso Comum de Trânsito, Conheço o Meu Lugar, Coração Selvagem, Fotografia 3X4, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Onde Jazz Meu Coração?, Princesa do Meu Lugar, Retórica Sentimental, Rock Romance de Um Robô Goliardo, Tocando Por Música"
velha,3,"Aguapé, Baihuno, Rock Romance de Um Robô Goliardo"
sentada,4,Aguapé
ruido,2,Aguapé
renda,2,"Aguapé, Voz da América"
menina,14,"Aguapé, Beijo Molhado, Brotinho de Bambu, Caso Comum de Trânsito, Como Nossos Pais, Cuidar do Homem, Meu Cordial Brasileiro, Todo Sujo de Batom"
roendo,2,Aguapé
merenda,2,Aguapé
acontece,3,"Aguapé, Caso Comum de Trânsito, Clamor No Deserto, Como Nossos Pais, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Nada Como Viver, Não Leve Flores, Pequeno Mapa do Tempo, Se Você Tivesse Aparecido"
absolutamente,2,Aguapé
aguapé,1,Aguapé
lagoa,1,Aguapé
sobre,17,"Aguapé, Baihuno, Como Se Fosse Pecado, Cuidar do Homem, Lamento do Marginal Bem Sucedido, Ondas Tropicais, Paralelas, Populus, Todo Sujo de Batom, Voz da América"
água,5,"Aguapé, Cuidar do Homem, Monólogo das Grandezas do Brasil, Mucuripe, Notícia de Terra Civilizada, Paralelas, Tambor Tantã"
deixa,11,"Aguapé, Amor de Perdição, Como Se Fosse Pecado, Coração Selvagem, Depois Das Seis, Divina Comédia Humana, Espacial, Paraíso, Recitanda, Rock Romance de Um Robô Goliardo, Sensual, Voz da América"
borda,1,Aguapé
canoa,2,"Aguapé, Conheço o Meu Lugar"
perfumada,1,Aguapé
chaminé,1,Aguapé
toa,2,"Aguapé, Conheço o Meu Lugar"
fábrica,2,"Aguapé, Depois Das Seis"
montada,1,Aguapé
fabrica,1,Aguapé
ar,6,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Humano Hum, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mote e Glosa, Mucuripe, Na Hora do Almoço, Nada Como Viver, Não Leve Flores, No Maior Jazz, Notícia de Terra Civilizada, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Senhoras do Amazonas, Sensual, Sujeito de Sorte, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América, Ypê"
puro,3,"Aguapé, Cuidar do Homem, Elegia Obscena"
alvorada-da-da-da,1,Aguapé
interessado,4,Alucinação
nenhuma,8,"Alucinação, Cuidar do Homem"
teoria,4,Alucinação
fantasia,3,Alucinação
algo,3,"Alucinação, Os Profissionais"
tinta,1,Alucinação
pro,15,"Alucinação, Amor e Crime, Apenas Um Rapaz Latino Americano, Baihuno, Balada de Madame Frigidaire, Bossa Em Palavrões, Caso Comum de Trânsito, Como Nossos Pais, Como Se Fosse Pecado, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Espacial, Extra Cool, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Profissionais, Paraíso (1982), Pequeno Mapa do Tempo, Recitanda, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado, Tambor Tantã, Tocando Por Música"
rosto,9,"Alucinação, Brasileiramente Linda, Comentários a Respeito de John, Depois Das Seis, Não Leve Flores, Populus, Rock Romance de Um Robô Goliardo, Voz da América"
oba,2,Alucinação
melodia,2,"Alucinação, Brotinho de Bambu"
acompanhar,1,Alucinação
bocejos,1,Alucinação
sonhos,4,"Alucinação, Canção de Gesta de Um Trovador Eletrônico, Num País Feliz, Rock Romance de Um Robô Goliardo"
matinais,1,Alucinação
nessas,2,"Alucinação, Tudo Outra Vez"
coisas,28,"Alucinação, Caso Comum de Trânsito, Clamor No Deserto, Como Nossos Pais, Conheço o Meu Lugar, E Que Tudo Mais Vá Para o Céu, Em Resposta à Carta de Fã, Fotografia 3X4, Na Hora do Almoço, Paraíso, Pequeno Perfil de Um Cidadão Comum, Todo Sujo de Batom, Tudo Outra Vez"
oriente,3,"Alucinação, Espacial, Seixo Rolado"
romances,1,Alucinação
astrais,1,Alucinação
alucinação,1,Alucinação
suportar,1,Alucinação
dia-a-dia,1,Alucinação
delírio,1,"Alucinação, Populus"
experiência,2,"Alucinação, Se Você Tivesse Aparecido"
reais,2,"Alucinação, Balada do Amor"
preto,8,"Alucinação, Arte Final, Como Se Fosse Pecado, E Que Tudo Mais Vá Para o Céu, Meu Cordial Brasileiro, Onde Jazz Meu Coração?, Os Derradeiros Moicanos"
pobre,4,"Alucinação, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Os Derradeiros Moicanos, Ploft, Rock Romance de Um Robô Goliardo"
estudante,5,"Alucinação, Jornal Blues (Canção Leve de Escárnio e Maldizer), Tudo Outra Vez, Voz da América"
mulher,21,"Alucinação, Amor de Perdição, Arte Final, Até Amanhã, Balada de Madame Frigidaire, Bel Prazer, Bossa Em Palavrões, Canção de Gesta de Um Trovador Eletrônico, De Primeira Grandeza, Do Mar, do Céu, do Campo, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Notícia de Terra Civilizada, Pequeno Perfil de Um Cidadão Comum, Ploft, Rock Romance de Um Robô Goliardo, Senhoras do Amazonas, Tambor Tantã, Tudo Outra Vez"
sozinha,4,"Alucinação, Depois Das Seis, Elegia Obscena"
blue,3,"A Palo Seco, Alucinação, Dandy, Extra Cool, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Ondas Tropicais, Onde Jazz Meu Coração?, Ploft, Seixo Rolado"
jeans,2,Alucinação
motocicletas,2,Alucinação
pessoas,6,"Alucinação, Apenas Um Rapaz Latino Americano, Tudo Outra Vez"
cinzas,2,Alucinação
normais,2,Alucinação
garotas,4,"Alucinação, Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
noite,26,"Alucinação, Apenas Um Rapaz Latino Americano, Arte Final, Brincando Com a Vida, Caso Comum de Trânsito, Como Se Fosse Pecado, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Fotografia 3X4, Galos, Noites e Quintais, Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Mucuripe, Pequeno Perfil de Um Cidadão Comum, Se Você Tivesse Aparecido, Sensual, Tudo Outra Vez, Voz da América"
revólver,3,"Alucinação, Clamor No Deserto"
cheira,3,"Alucinação, Seixo Rolado"
cachorro,12,"Alucinação, Coração Selvagem, Rock Romance de Um Robô Goliardo, S.A., Sujeito de Sorte, Tudo Outra Vez"
humilhados,5,"Alucinação, Onde Jazz Meu Coração?"
parque,5,"Alucinação, Canção de Gesta de Um Trovador Eletrônico, Meu Nome é Cem, Rock Romance de Um Robô Goliardo"
jornais,2,Alucinação
carneiros,2,Alucinação
trabalho,7,"Alucinação, Caso Comum de Trânsito, Depois Das Seis, Não Leve Flores, Paralelas, Ploft"
corpo,22,"Alucinação, Bel Prazer, Brasileiramente Linda, Caso Comum de Trânsito, Coração Selvagem, Divina Comédia Humana, Em Resposta à Carta de Fã, Nada Como Viver, Objeto Direto, Paraíso, Paraíso (1982), Ploft, Seixo Rolado, Sensual, Voz da América"
cai,6,"Alucinação, Baihuno, Balada de Madame Frigidaire, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Fotografia 3X4, Lamento do Marginal Bem Sucedido, Os Derradeiros Moicanos, Rock Romance de Um Robô Goliardo"
oitavo,3,"Alucinação, Paralelas"
andar,9,"Alucinação, Comentários a Respeito de John, Como Se Fosse Pecado, Coração Selvagem, E Que Tudo Mais Vá Para o Céu, Fotografia 3X4, Lira dos Vinte Anos, Monólogo das Grandezas do Brasil, Mucuripe, Paralelas"
dessas,3,"Alucinação, Paraíso"
capitais,3,"Alucinação, Objeto Direto"
violência,8,"Alucinação, Balada do Amor, Extra Cool, Lamento do Marginal Bem Sucedido, Objeto Direto, Se Você Tivesse Aparecido, Seixo Rolado"
movimento,2,Alucinação
tráfego,2,Alucinação
rapaz,8,"Alucinação, Apenas Um Rapaz Latino Americano, Arte Final, Balada de Madame Frigidaire, Mucuripe, Os Profissionais, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
delicado,4,"Alucinação, Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo"
alegre,6,"Alucinação, Clamor No Deserto, Galos, Noites e Quintais, Pequeno Mapa do Tempo"
